UMAP Dim 1,UMAP Dim 2
7.8783703,3.4865172
1.8634384,4.6915073
6.213352,4.9055896
7.2685947,4.870224
5.2826767,6.5062547
9.2420025,3.9610345
7.196805,8.207063
7.694315,5.542563
6.9742756,8.377678
3.7292612,4.5634375
6.1168976,9.136222
1.845497,5.2479897
5.473408,8.899467
8.506002,6.44887
4.1663322,6.314236
7.5665765,8.890855
6.8535495,8.298297
2.0951583,5.4071355
9.039541,3.9685707
7.1959977,3.8125026
6.3656993,4.6808977
8.2923975,5.3112307
8.259492,4.5826993
7.6431665,7.324998
8.266376,7.2411222
6.4988804,7.47662
7.450972,4.4619036
6.738085,8.0325365
4.369197,2.9897132
8.03946,7.423494
9.114722,4.287049
5.541552,6.433421
4.377293,3.6341536
6.4551697,6.9052134
7.273154,6.5250354
2.4038172,5.749977
2.5347154,6.965642
8.274093,3.6371038
4.059312,3.2199843
4.5537353,7.940553
6.7136526,9.86167
4.0642014,6.0006123
3.4455025,6.1581106
6.465742,5.002875
8.925113,8.655542
4.702381,4.1302643
8.416251,7.558004
4.1598473,3.6751933
2.7503774,4.722709
9.304997,3.9827273
7.9750323,7.7910724
8.892612,8.451377
5.626669,5.6772933
4.886784,6.228653
8.128119,4.3891783
5.12501,5.8058343
9.002128,4.255059
8.248074,6.6464553
4.878738,4.3083725
4.086181,5.236271
4.3165936,5.241569
8.126074,5.538911
4.2739716,3.2402105
3.4238408,3.8257499
1.883163,4.4992476
3.1661496,7.078763
9.087928,3.7472432
1.7840106,4.699998
2.8795092,6.104014
6.922196,7.289421
6.1493125,7.621134
